id	k	kh	g	gh	ṅ	c	ch	j	jh	ñ	ṭ	ṭh	ḍ	ḍh	ṇ	t	th	d	dh	n		p	ph	b	bh	m	y		r		l			v	ś	ṣ	s	h
brahmi	𑀓	𑀔	𑀕	𑀖	𑀗	𑀘	𑀙	𑀚	𑀛	𑀜	𑀝	𑀞	𑀟	𑀠	𑀡	𑀢	𑀣	𑀤	𑀥	𑀦		𑀧	𑀨	𑀩	𑀪	𑀫	𑀬		𑀭		𑀮			𑀯	𑀰	𑀱	𑀲	𑀳
aramaic	𐡊		𐡂				𐡒					𐡈	𐡆			𐡕				𐡍		𐡐		𐡁		𐡌	𐡉		𐡓		𐡋			𐡅	𐡎	𐡔	𐡑	𐡇
gupta	/img/gupta/k.png	/img/gupta/kh.png	/img/gupta/g.png	/img/gupta/gh.png	/img/gupta/ng.png	/img/gupta/c.png	/img/gupta/ch.png	/img/gupta/j.png	/img/gupta/jh.png	/img/gupta/ny.png	/img/gupta/t2.png	/img/gupta/th2.png	/img/gupta/d2.png	/img/gupta/dh2.png	/img/gupta/n2.png	/img/gupta/t.png	/img/gupta/th.png	/img/gupta/d.png	/img/gupta/dh.png	/img/gupta/n.png		/img/gupta/p.png	/img/gupta/ph.png	/img/gupta/b.png	/img/gupta/bh.png	/img/gupta/m.png	/img/gupta/y.png		/img/gupta/r.png		/img/gupta/l.png			/img/gupta/v.png	/img/gupta/sh.png	/img/gupta/sh2.png	/img/gupta/s.png	/img/gupta/h.png
siddham	𑖎	𑖏	𑖐	𑖑	𑖒	𑖓	𑖔	𑖕	𑖖	𑖗	𑖘	𑖙	𑖚	𑖛	𑖜	𑖝	𑖞	𑖟	𑖠	𑖡		𑖢	𑖣	𑖤	𑖥	𑖦	𑖧		𑖨		𑖩			𑖪	𑖫	𑖬	𑖭	𑖮
tamizhi	/img/tamizhi/k.svg				/img/tamizhi/ng.svg	/img/tamizhi/c.svg				/img/tamizhi/ny.svg	/img/tamizhi/tt.svg				/img/tamizhi/nn.svg	/img/tamizhi/t.svg				/img/tamizhi/n.svg	/img/tamizhi/nnn.svg	/img/tamizhi/p.svg				/img/tamizhi/m.svg	/img/tamizhi/y.svg		/img/tamizhi/r.svg	/img/tamizhi/rr.svg	/img/tamizhi/l.svg	/img/tamizhi/ll.svg	/img/tamizhi/lll.svg	/img/tamizhi/v.svg				
gaudi	/img/gaudi/k.svg	/img/gaudi/kh.svg	/img/gaudi/g.svg	/img/gaudi/gh.svg	/img/gaudi/ng.svg	/img/gaudi/c.svg	/img/gaudi/ch.svg	/img/gaudi/j.svg	/img/gaudi/jh.svg	/img/gaudi/ny.svg	/img/gaudi/t2.svg	/img/gaudi/th2.svg	/img/gaudi/d2.svg	/img/gaudi/dh2.svg	/img/gaudi/n2.svg	/img/gaudi/t.svg	/img/gaudi/th.svg	/img/gaudi/d.svg	/img/gaudi/dh.svg	/img/gaudi/n.svg		/img/gaudi/p.svg	/img/gaudi/ph.svg	/img/gaudi/b.svg	/img/gaudi/bh.svg	/img/gaudi/m.svg	/img/gaudi/y.svg		/img/gaudi/r.svg		/img/gaudi/l.svg			/img/gaudi/v.svg	/img/gaudi/sh.svg	/img/gaudi/sh2.svg	/img/gaudi/s.svg	/img/gaudi/h.svg
sharda	𑆑	𑆒	𑆓	𑆔	𑆕	𑆖	𑆗	𑆘	𑆙	𑆚	𑆛	𑆜	𑆝	𑆞	𑆟	𑆠	𑆡	𑆢	𑆣	𑆤		𑆥	𑆦	𑆧	𑆨	𑆩	𑆪		𑆫		𑆬	𑆭		𑆮	𑆯	𑆰	𑆱	𑆲
devanagari	क	ख	ग	घ	ङ	च	छ	ज	झ	ञ	ट	ठ	ड	ढ	ण	त	थ	द	ध	न		प	फ	ब	भ	म	य	य़	र	ऱ	ल	ळ	ऴ	व	श	ष	स	ह
eastnagari	ক	খ	গ	ঘ	ঙ	চ	ছ	জ	ঝ	ঞ	ট	ঠ	ড	ঢ	ণ	ত	থ	দ	ধ	ন		প	ফ	ব	ভ	ম	য	য়	র	ৰ	ল			ৱ	শ	ষ	স	হ
gurmukhi	ਕ	ਖ	ਗ	ਘ	ਙ	ਚ	ਛ	ਜ	ਝ	ਞ	ਟ	ਠ	ਡ	ਢ	ਣ	ਤ	ਥ	ਦ	ਧ	ਨ		ਪ	ਫ	ਬ	ਭ	ਮ	ਯ		ਰ		ਲ	ਲ਼		ਵ	ਸ਼		ਸ	ਹ
